id,observed_on,latitude,longitude,scientific_name
68056902,14/01/2021,52.01419366,0.220961257,Muntiacus reevesi
68404109,21/01/2021,51.78703,-1.385775,Muntiacus reevesi
68452430,22/01/2021,51.35443258,-2.386494463,Muntiacus reevesi
68523153,23/01/2021,51.38253,-1.31065,Muntiacus reevesi
68755800,23/01/2021,52.06436867,-0.582493655,Muntiacus reevesi
68866533,31/01/2021,52.51208878,-1.706196427,Muntiacus reevesi
68962391,02/02/2020,52.03274615,-0.430532768,Muntiacus reevesi
69142080,06/02/2021,51.80709306,-1.197916018,Muntiacus reevesi
69462824,12/02/2021,52.01214444,0.219811111,Muntiacus reevesi
69559054,13/02/2021,51.49084158,-2.53967341,Muntiacus reevesi
69770097,18/02/2021,52.83024406,0.83999875,Muntiacus reevesi
69861331,18/02/2021,52.07363765,-2.531295697,Muntiacus reevesi
69861332,18/02/2021,52.0607049,-2.450021587,Muntiacus reevesi
69882354,03/06/2018,52.35755504,-2.002982027,Muntiacus reevesi
69922380,20/02/2021,51.71323928,-2.365029304,Muntiacus reevesi
69977442,19/02/2021,51.41210333,-2.031086167,Muntiacus reevesi
70203393,26/02/2021,51.81061209,-1.195965024,Muntiacus reevesi
70250767,26/02/2021,51.41091887,-2.038299188,Muntiacus reevesi
70270661,27/02/2021,51.71623856,-2.355533391,Muntiacus reevesi
70271344,27/02/2021,52.265582,0.191002,Muntiacus reevesi
70326991,20/02/2021,52.60126076,1.46006621,Muntiacus reevesi
70382324,27/02/2021,52.62643333,1.328696667,Muntiacus reevesi
70458601,02/03/2021,53.21960424,-0.578826814,Muntiacus reevesi
70503230,03/03/2021,52.62464624,1.340550229,Muntiacus reevesi
70599017,04/03/2021,52.02276507,0.212572798,Muntiacus reevesi
70616406,05/03/2021,52.19551091,-2.578293366,Muntiacus reevesi
70669979,05/03/2021,52.35763688,-1.966712096,Muntiacus reevesi
70741351,07/03/2021,52.58434309,1.242486867,Muntiacus reevesi
70742171,07/03/2021,51.72047,-0.802111667,Muntiacus reevesi
70933657,10/03/2021,52.12638107,-2.590316677,Muntiacus reevesi
71225050,14/03/2021,52.07433602,1.098508939,Muntiacus reevesi
71236977,25/02/2021,52.38462833,0.638086667,Muntiacus reevesi
71288791,25/06/2019,52.763746,0.311741,Muntiacus reevesi
71289618,05/03/2021,52.754188,0.425415,Muntiacus reevesi
71425046,17/03/2021,52.27228164,-0.243548183,Muntiacus reevesi
71425675,17/03/2021,52.27134723,-0.242642015,Muntiacus reevesi
71585641,16/03/2021,52.40874237,0.750286196,Muntiacus reevesi
71606772,20/03/2021,51.82047779,0.0585675,Muntiacus reevesi
71665663,20/03/2021,52.01256657,0.218027034,Muntiacus reevesi
71696892,16/03/2021,51.34792516,-2.561554734,Muntiacus reevesi
71714185,21/03/2021,52.27807061,0.055752861,Muntiacus reevesi
71719813,21/03/2021,52.55948162,-2.134824903,Muntiacus reevesi
71722174,21/03/2021,52.55083333,-2.135,Muntiacus reevesi
71775261,21/03/2021,51.83974947,-0.536806583,Muntiacus reevesi
71940832,24/03/2021,51.57298677,-1.312626451,Muntiacus reevesi
